total_cup_points,species,country_of_origin,farm_name,mill,company,bag_weight_raw,bag_weight_unit,number_of_bags,region,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance
82.33,Arabica,Costa Rica,NA,NA,"f. gaviña & sons, inc.",1,kg,275,central valley,2012,"October 9th, 2012",Michael Gavina,NA,Wet,7.92,7.58,7.25,7.75,7.92,7.58
82.33,Arabica,Guatemala,finca el morito,beneficio el morito,finca el morito,69,kg,275,jalapa,2012,"October 5th, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.67,7.5,7.33,7.67,7.5,7.33
82.33,Arabica,Mexico,tepemalacax,en tlalnepantla,NA,1,kg,10,"jaltocan, hidalgo",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Dry,7.58,7.67,7.58,7.33,7,7.58
82.33,Arabica,Mexico,finca los barreales 1112lbga7250412,finca los barreales,finca los barreales,1,kg,10,veracruz,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Wet,7.67,7.58,7.5,7.58,7.5,7.5
82.33,Arabica,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",1,kg,250,oriente,2012,"May 23rd, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.5,7.67,7.33,7.5,7.33,7.5
82.33,Arabica,Brazil,sitío santa luzia,NA,nucoffee,60,kg,16,grama valley,2012,"April 11th, 2012",NUCOFFEE,Mundo Novo,Dry,7.58,7.5,7.42,7.5,7.5,7.42
82.33,Arabica,Mexico,cafetal santa maria,cafetal santa maria,eczcafe fino s.a. de c.v.,1,kg,10,santa catarina juquila,2012,"March 5th, 2012",MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Typica,Wet,8,7.75,7.33,7.33,7.08,7.67
82.33,Arabica,Brazil,café citrus,NA,nucoffee,60,kg,44,south of minas,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Wet,7.58,7.58,7.25,7.58,7.42,7.5
82.33,Arabica,Colombia,NA,NA,carcafe ltda,70,kg,250,huila,2012,"January 31st, 2012",CARCAFE LTDA CI,Caturra,Dry,7.83,7.58,7.33,7.25,7.58,7.42
82.25,Arabica,Brazil,fazendas klem ltda,dry mill,klem organics coffee,5,kg,1062,brazil matas de minas,NA,"November 15th, 2017",KlemOrganics,Catuai,Wet,7.58,7.5,7.25,7.42,7.67,7.33
82.25,Arabica,Guatemala,linda vista,beneficio humedo,mercon guatemala s.a.,69,kg,275,nuevo oriente,2016,"August 31st, 2016",Juan Luis Alvarado Romero,Pacas,Wet,7.67,7.5,7.25,7.67,7.42,7.42
82.25,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,180,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.42,7.67,7.5,7.08,7.5,7.42
82.25,Arabica,El Salvador,zapato de mico,tuxpal,consejo salvadoreño del café,1,kg,275,apaneca,2014,"July 8th, 2015",Consejo Salvadoreño del Café,Bourbon,Wet,7.58,7.67,7.5,7.67,7.83,8.42
82.25,Arabica,Honduras,bethel,cadexsa,cadexsa,1,kg,275,marcala,2015,"April 15th, 2015",CADEXSA,Catuai,Wet,7.58,7.5,7.42,7.58,7.42,7.42
82.25,Arabica,Malawi,kachere,mzuzu coffee coop union,mzuzu coffee planters coop union,60,kg,10,mzuzu,2014,"November 4th, 2014",AFCA,Gesha,Wet,7.58,7.42,7.33,7.42,7.58,7.5
82.25,Arabica,Brazil,rio verde,ipanema coffees,ipanema coffees,2,kg,320,south of minas,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Dry,7.75,7.58,7.42,7.42,7.33,7.33
82.25,Arabica,Taiwan,guo xing ka fei wang 國姓咖啡王咖啡莊園,guo xin ka fei 國昕咖啡,blossom valley宸嶧國際,60,kg,35,nantou,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Wet,7.5,7.5,7.5,7.5,7.5,7.5
82.25,Arabica,Mexico,finca huehuetecpan,"cosautlan de carvajal, veracruz, méxico",NA,1,kg,150,veracruz,2013,"July 19th, 2013",JESUS CARLOS CARDENAS VALDIVIA,Mundo Novo,Wet,7.58,7.58,7.42,7.42,7.42,7.42
82.25,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,6,kona,2013,"May 3rd, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.33,7.42,7.5,7.67,7.5,7.42
82.25,Arabica,Mexico,omicuatla,comitla,NA,1,kg,10,"calnali, hidalgo",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Bourbon,Wet,7.58,7.58,7.5,7.17,7.42,7.42
82.25,Arabica,Guatemala,finca medina,finca medina,"siembras vision, s.a. / ing. jorge bolaños",69,kg,275,antigua,2012,"September 19th, 2012",Juan Luis Alvarado Romero,Bourbon,Wet,7.5,7.5,7.33,7.58,7.67,7.33
82.25,Arabica,Mexico,los barreales 1112lbgr7230412,finca los barreales,finca los barreales,1,kg,10,veracruz,2012,"August 31st, 2012",MANUEL HERRERA JUAREZ,Bourbon,Wet,7.5,7.58,7.42,7.67,7.33,7.42
82.25,Arabica,Mexico,jamaica,"finca jamaica, san gabriel mixtepec, juquila, oaxaca",NA,1,kg,40,juquila,2012,"August 30th, 2012",GUILLERMO ROJAS SALDANA,Typica,Wet,7.67,7.58,7.33,7.5,7.42,7.42
82.25,Arabica,El Salvador,NA,NA,atlantic specialty coffee,1,kg,288,NA,2012,"August 21st, 2012",Adam Kline,Other,Wet,7.75,7.33,7.33,7.5,7.5,7.5
82.25,Arabica,Mexico,chilcuatla,cafetalera la cuchilla,NA,1,kg,250,veracruz,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Wet,7.33,7.58,7.42,7.67,7.33,7.5
82.25,Arabica,Mexico,comunidad de canoas,productos organicos de canoas spr de rl,organizaciones de productores de cafe colimense sa de cv,1,kg,250,canoas,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Wet,7.42,7.5,7.42,7.58,7.42,7.5
82.25,Arabica,Colombia,NA,trilladora boananza,exportadora de cafe condor s.a,70,kg,250,huila,2012,"February 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Wet,7.5,7.42,7.67,7.33,7.58,7.33
82.25,Arabica,Colombia,NA,NA,c.i.racafe & cia s.c.a,70,kg,100,huila,2012,"February 9th, 2012",Racafe & Cia S.C.A,Caturra,Wet,7.67,7.33,7.33,7.33,7.5,7.5
82.25,Arabica,Brazil,caxambu,NA,nucoffee,60,kg,84,NA,2012,"January 23rd, 2012",NUCOFFEE,Arusha,Dry,7.67,7.58,7.42,7,7.5,7.58
82.17,Arabica,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,60,kg,320,south of minas,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.42,7.42,7.5,7.42,7.42,7.5
82.17,Arabica,Honduras,las cuchillas,dry mill,cigrah s.a de c.v,69,kg,200,comayagua,2015,"June 9th, 2016",Bismarck Castro,Caturra,Wet,7.5,7.5,7.17,7.42,7.5,7.5
82.17,Arabica,"Tanzania, United Republic Of",langiro farm group,mbinga,tawoca,80,kg,30,ruvuma,2015,"November 16th, 2015",Langiro Farm group,Bourbon,Wet,7.58,7.42,7.42,7.33,7.5,7.42
82.17,Arabica,"Tanzania, United Republic Of",NA,NA,ibero tanzania,60,kg,300,northern,2015/2016,"October 20th, 2015",IBERO COFFEE TRADING CO (T) LTD,Other,Wet,7.42,7.42,7.42,7.5,7.5,7.33
82.17,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,320,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,6.92,7.58,7.42,7.33,7.83,7.5
82.17,Arabica,Thailand,NA,NA,doi tung development project,1,kg,1,thailand,2014,"June 9th, 2015",Doi Tung Development Project,NA,Wet,7.42,7.42,7.17,7.75,7.25,7.67
82.17,Arabica,Honduras,bethel,cadexsa,cadexsa,1,kg,275,marcala,2015,"April 15th, 2015",CADEXSA,Catuai,Wet,7.67,7.5,7.25,7.42,7.58,7.42
82.17,Arabica,Guatemala,blue lake,NA,essence coffee,69,kg,250,atitlan,2014,"March 21st, 2015",EssenceCoffee,Bourbon,Wet,7.42,7.42,7.5,7.5,7.42,7.5
82.17,Arabica,Brazil,NA,NA,bourbon specialty coffees,60,kg,300,cerrado,2014,"January 15th, 2015",BOURBON SPECIALTY COFFEES,Mundo Novo,Dry,7.58,7.5,7.42,7.25,7.5,7.42
82.17,Arabica,"Tanzania, United Republic Of",ilomba 2,tembo coffee company ltd,tembo coffee company ltd,60,kg,10,"ilomba vilage, mbozi",2014,"December 15th, 2014",Tembo Coffee Company Ltd,Other,Wet,7.75,7.42,7.42,7.58,7.33,7.42
82.17,Arabica,Mexico,el pino,"el pino, cosautlan de carvajal","café andrade, s.a. de c.v.",1,kg,200,veracruz,2013,"July 15th, 2014",J.ANDRADE,Other,Wet,7.42,7.33,7.17,7.42,7.33,8.17
82.17,Arabica,Mexico,NA,NA,lusso coffee lab,2,kg,2,"la concordia, chiapas",2013,"April 10th, 2014",LUSSO LAB,Other,Wet,7.5,7.5,7.33,7.42,7.5,7.42
82.17,Arabica,Taiwan,song yue coffee 嵩岳咖啡,song yue coffee 嵩岳咖啡,blossom valley宸嶧國際,60,kg,60,yunlin 雲林縣石壁,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.5,7.5,7.5,7.5,7.5,7.5
82.17,Arabica,Taiwan,kan tou mountain coffee 崁頭山咖啡館,kan tou mountain coffee 崁頭山咖啡館,"red on tree co., ltd.",10,kg,80,"dongshan dist., tainan city 臺南市東山區",2012,"May 29th, 2013","Lin, Che-Hao Krude 林哲豪",Typica,Wet,7.67,7.5,7.5,7.17,7.17,7.58
82.17,Arabica,Colombia,NA,triladora bonanza,exportadora de cafe condor s.a,70,kg,250,huila,2013,"March 20th, 2013",Exportadora de Cafe Condor S.A,Caturra,Wet,7.33,7.25,7.25,7.58,7.75,7.5
82.17,Arabica,Mexico,el nanchi,"buenas vista, municipio de san bartolo tutotepec",NA,1,kg,10,san bartolo tutotepec,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Wet,7.5,7.67,7,7.5,7.33,7.5
82.17,Arabica,Guatemala,NA,NA,the coffee source inc.,1,kg,250,oriente,2012,"August 2nd, 2012",The Coffee Source Inc.,Caturra,Wet,7.25,7.75,7,7.75,8.17,7.75
82.17,Arabica,Mexico,las truchas,las truchas,NA,1,kg,200,altotonga,2012,"July 11th, 2012",SALVADOR CARO CARRION,Typica,Wet,7.5,7.58,7.25,7.5,7.5,7.33
82.17,Arabica,Mexico,"la calera, barranca de la leona, el nogal",beneficio productores organicos de cnoas s.p.r. de r.l.,organizaciones de productores de cafe colimense sa de cv,1,kg,60,colima,2012,"July 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Wet,7,7.67,7.5,7.5,7.42,7.5
82.08,Arabica,Indonesia,various,bener meriah - gayo,pt. shriya artha nusantara,1,kg,2,aceh gayo,2017,"August 3rd, 2017",SanJava Coffee,Bourbon,Wet,7.5,7.5,7.42,7.42,7.5,7.42
82.08,Arabica,Colombia,NA,san josé / neiva,skn caribecafe ltda,70,kg,275,huila,2016,"February 20th, 2017",Raúl Vargas,Caturra,Wet,7.75,7.58,7.42,7.67,7.83,7.58
82.08,Arabica,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,60,kg,320,south of minas,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.42,7.58,7.42,7.5,7.42,7.25
82.08,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,320,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.25,7.25,7.58,7.58,7.25,7.92
82.08,Arabica,Costa Rica,el patalillo,el patalillo,"cafetalera internacional cafinter, s.a.",350,kg,275,tres rios,2015,"April 10th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,Wet,7.75,7.42,7.42,7.25,7.17,7.42
82.08,Arabica,"Tanzania, United Republic Of",ampcg,dae ltd,volcafe/taylorwinch tanzania ltd,2,kg,300,kilimanjaro,2014,"March 25th, 2015",Balam Hinyula,Bourbon,Wet,7.42,7.33,7.42,7.42,7.5,7.58
82.08,Arabica,"Tanzania, United Republic Of",ngorogoro convenant estate,ngorogoro convenant estate,ngorogoro convenant estate,60,kg,1,ngorogoro,2014,"January 8th, 2015",Ngorogoro Convenant Estate,Other,Wet,7.42,7.5,7.5,7.33,7.33,7.5
82.08,Arabica,Colombia,NA,NA,cafe politico,5,lbs,1,NA,2013,"September 12th, 2014",Cafe Politico,NA,Wet,7.5,7.42,7.42,7.42,7.67,7.42
82.08,Arabica,Costa Rica,cafetalera aquiares,cafetalera aquiares,"ceca,s.a.",69,kg,150,turrialba,2013,"March 21st, 2014","CECA, S.A.",Caturra,Wet,7.58,7.33,7.33,7.33,7.5,7.67
82.08,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,4,kona,2012,"November 26th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.25,7.58,7.58,7.25,7.5,7.42
82.08,Arabica,Mexico,"cafetal el equimite, rancho agroecológico","cafetal el equimite, rancho agroecológico",NA,1,kg,35,coatepec,2012,"September 10th, 2012","El Equimite, Cafetal Biodinámico",Typica,Wet,7.42,7.58,7.5,7.33,7.42,7.42
82.08,Arabica,Mexico,NA,"tapachula, chiapas",indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,1,kg,250,tapachula,2012,"August 30th, 2012",JULIO PEREZ HERNANDEZ,Typica,Wet,7.5,7.42,7.42,7.5,7.25,7.5
82.08,Arabica,Mexico,bola de oro,"coatepec, ver",NA,1,kg,15,coatepec,2012,"July 26th, 2012",ROSA AURORA FALCON FERNANDEZ,Typica,Wet,7.67,7.5,7.25,7.58,7.42,7.33
82.08,Arabica,Vietnam,"apollo co., ltd.","apollo co., ltd.",royal base corporation,2,kg,1,don duong,2012,"July 23rd, 2012",Royal Base Corporation,Other,Dry,7.67,8,7.17,7.08,7.67,7.08
82.08,Arabica,Mexico,tomatlancillo,cafetalera la cuchilla,NA,1,kg,250,veracruz,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Wet,7.58,7.42,7.25,7.75,7.33,7.42
82.08,Arabica,United States (Hawaii),NA,NA,cqi,100,lbs,10,kona,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Wet,7.33,7.5,7.33,7.58,7.08,7.83
82,Arabica,Honduras,las moras,cigrah s.a de c.v.,cigrah s.a de c.v,69,kg,275,el paraíso,2017,"June 1st, 2017",Bismarck Castro,Caturra,Wet,7.5,7.5,7.17,7.5,7.5,7.42
82,Arabica,Honduras,las moras,cigrah s.a de c.v.,cigrah s.a de c.v,69,kg,275,guinope el paraíso,2016,"April 6th, 2017",Bismarck Castro,Caturra,Dry,7.5,7.5,7.25,7.33,7.42,7.5
82,Arabica,Brazil,capoeirinha,dry mill,ipanema coffees,60,kg,230,south of minas,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Dry,7.5,7.33,7.42,7.5,7.33,7.42
82,Arabica,"Tanzania, United Republic Of",family farm,NA,tawoca,80,kg,2,kilimanjaro,2015,"November 16th, 2015",Didas,Other,Wet,7.67,7.33,7.33,7.42,7.42,7.42
82,Arabica,Laos,club green,club green,kettles coffee roasters,2,kg,1,lao p.d.r.,2015,"November 5th, 2015",Minwook Ku,Other,Wet,7.42,7.5,7.25,7.33,7.5,7.5
82,Arabica,"Tanzania, United Republic Of",finca estate,finca estate,finca estate,60,kg,1,meru,2014,"December 18th, 2014",Finca Estate,Other,Wet,7.42,7.42,7.33,7.58,7.33,7.42
82,Arabica,Malawi,chikali,mzuzu coffee coop union,mzuzu coffee planters coop union,60,kg,16,mzuzu,2014,"October 31st, 2014",AFCA,Gesha,Wet,7.5,7.42,7.33,7.58,7.33,7.5
82,Arabica,Taiwan,"you siang coffee farmtainan, taiwan 台灣台南優香咖啡","you siang coffee farmtainan, taiwan 台灣台南優香咖啡","red on tree co., ltd.",20,kg,50,"dongshan dist., tainan city 臺南市東山區",2013,"July 22nd, 2014","Lin, Che-Hao Krude 林哲豪",Typica,Wet,7.33,7.5,7.17,7.42,7.5,7.33
82,Arabica,Thailand,NA,doi tung development project,doi tung development project,1,kg,1,thailand,2013,"June 20th, 2014",Doi Tung Development Project,NA,Wet,7.58,7.5,7.42,7.42,7.33,7.42
82,Arabica,Costa Rica,various,coricafe sa,coricafe s.a.,1,kg,250,central valley,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Wet,7.5,7.25,7.33,7.33,7.75,7.5
82,Arabica,Honduras,bsr,beneficio santa rosa s.a.,beneficio santa rosa s.a.,69,kg,275,occidental,2014,"April 30th, 2014",Beneficio Santa Rosa,Caturra,Wet,7.33,7.33,7.33,7.5,7.5,7.83
82,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,250,huila,2013,"September 13th, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.33,7.33,7.58,7.5,7.5,7.58
82,Arabica,Taiwan,gao chun fang 高醇坊,gao chun fang 高醇坊,"red on tree co., ltd.",10,kg,30,"dongshan dist., tainan city 臺南市東山區",2012,"June 3rd, 2013","Lin, Che-Hao Krude 林哲豪",Typica,Wet,7.42,7.58,7.33,7.42,8,7.5
82,Arabica,Brazil,café do paraíso,café do paraíso,café do paraíso,2,kg,1,"minas gerais, br",2012,"May 21st, 2013",Owen Carver,Mundo Novo,Dry,7.33,7.67,7.42,7.17,7.33,7.42
82,Arabica,Mexico,la ceiba,NA,NA,1,kg,15,coscomatepec,2012,"July 11th, 2012",JORGE OCTAVIO ESCAMILLA PRADO,Typica,Wet,7.67,7.33,7.25,7.5,7.42,7.42
82,Arabica,Brazil,campo das flores,NA,nucoffee,60,kg,50,south of minas,2012,"June 4th, 2012",NUCOFFEE,Mundo Novo,Dry,7.42,7.5,7.33,7.5,7.33,7.5
82,Arabica,Brazil,são josé da lagoa,NA,nucoffee,60,kg,75,cerrado,2012,"April 11th, 2012",NUCOFFEE,Catuai,Semi-washed,7.42,7.5,7.25,7.5,7.5,7.42
82,Arabica,Guatemala,el faro,NA,"elfasa, s.a.",1,kg,250,san marcos,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Bourbon,Dry,7.33,7.33,7.33,7.5,7.67,7.67
82,Arabica,Brazil,santa mariana/são vicente,NA,nucoffee,60,kg,53,south of minas,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Semi-washed,7.58,7.5,7.17,7.5,7.5,7.42
82,Arabica,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,2,kg,250,oriente,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Wet,7.75,7.33,7.33,7.42,7.75,7.67
81.92,Arabica,Guatemala,la esperanza,beneficio ixchel,"unex guatemala, s.a.",69,kg,25,oriente,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.58,7.5,7.25,7.58,7.58,7.5
81.92,Arabica,Guatemala,las delicias,beneficio ixchel,"unex guatemala, s.a.",69,kg,50,santa rosa,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.5,7.5,7.25,7.42,7.42,7.42
81.92,Arabica,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,67,kg,274,comayagua,2017,"June 1st, 2017",Bismarck Castro,Caturra,Wet,7.58,7.5,7.25,7.33,7.42,7.5
81.92,Arabica,Brazil,santa bárbara,copag,volcafe ltda.,59,kg,305,monte carmelo,2016 / 2017,"October 26th, 2016",Gabriel Barbara,Catuai,Dry,7.42,7.33,7.33,7.5,7.5,7.33
81.92,Arabica,El Salvador,la esperanza,san miguel,consejo salvadoreño del café,69,kg,275,"el balsamo, quezaltepec",2014,"May 5th, 2015",Consejo Salvadoreño del Café,Bourbon,Wet,7.67,7.58,7.33,7.5,7.5,7.67
81.92,Arabica,Guatemala,las cebollas y anexos,la conquista,asociación nacional del café - anacafe -,69,kg,275,nuevo oriente,2015,"April 20th, 2015",Juan Luis Alvarado Romero,Catuai,Wet,7.58,7.58,7.17,7.83,7.17,7.33
81.92,Arabica,"Tanzania, United Republic Of",mcomafa farm no1155gr,mcomafa,mcomafa co. ltd,60,kg,114,mbeya,2014,"January 6th, 2015",Mcomafa Co Ltd,Other,Wet,7.33,7.33,7.33,7.42,7.5,7.58
81.92,Arabica,Nicaragua,NA,NA,volcafe specialty coffee,5,lbs,275,NA,2013,"July 29th, 2014",Chris Finch,NA,Wet,7.58,7.42,7.25,7.17,7.5,7.67
81.92,Arabica,Zambia,mubuyu munali,NA,lusso coffee lab,2,kg,13,mubuyu estate,2014,"June 20th, 2014",LUSSO LAB,SL28,Wet,7.67,7.08,7.42,7.33,7.75,7.42
81.92,Arabica,Honduras,NA,NA,thrive farmers,2,kg,1,NA,2012,"January 17th, 2014",Rob Tuttle,NA,Wet,7.42,7.33,7.33,7.58,7.33,7.5
81.92,Arabica,Taiwan,dragon coffee 龍咖啡,dragon coffee 龍咖啡,blossom valley宸嶧國際,30,kg,35,taichung xinshe 台中市新社區,2012,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5
81.92,Arabica,Mexico,various,productores de cafes especiales sc,"finca triunfo verde, s.c.",1,kg,450,chiapas,2013,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Bourbon,Wet,7.58,7.5,7.25,7.58,7.5,7.25
81.92,Arabica,Mexico,platanal,en el plan de guadalupe,NA,1,kg,10,"chapulhuacan, hidalgo",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Semi-washed,7.5,7.5,7.25,7.25,7.5,7.5
81.92,Arabica,Mexico,texpanco,"en chiatipan, municipio de huazalingo",NA,1,kg,10,"huazalingo, hidalgo",2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Mundo Novo,Wet,7.5,7.42,7.25,7.5,7.33,7.33
81.92,Arabica,Mexico,la laja,la laja pinillos veracruz,NA,1,kg,30,veracruz,2012,"July 11th, 2012",JUAN HERMILIO SAMPIERI CARCAMO,Other,Wet,7.33,7.58,7.17,7.58,7.42,7.33
81.92,Arabica,Mexico,mata larga,finca mata larga,NA,1,kg,62,fortín de las flores,2012,"July 11th, 2012",MODESTO LANDEROS FLORES,Bourbon,Wet,7.67,7.42,7.33,7.83,7.5,7.5
81.92,Arabica,Brazil,sitío corrego da olaria/são caetano,NA,nucoffee,60,kg,8,grama valley,2012,"February 29th, 2012",NUCOFFEE,Mundo Novo,Dry,7.42,7.58,7.25,7.5,7.33,7.5
81.83,Arabica,Guatemala,la esmeralda,beneficio ixchel,"unex guatemala, s.a.",69,kg,25,oriente,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Wet,7.42,7.5,7.25,7.5,7.33,7.42
81.83,Arabica,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,46,kg,15,tarrazu,2016,"February 13th, 2017",Troy Quimby,Catuai,Other,7.25,7.33,7.5,7.33,7.67,7.42
81.83,Arabica,Brazil,helena,copag,volcafe ltda.,59,kg,200,monte carmelo,2016,"January 20th, 2017",Gabriel Barbara,Mundo Novo,Dry,7.42,7.5,7.42,7.5,7.42,7.25
81.83,Arabica,Indonesia,mudar,pt. olam indonesia,pt. olam indonesia,30,kg,166,bali,2015,"January 19th, 2017",Aulia Arif Syahri,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83
81.83,Arabica,Guatemala,chapultepec,beneficio ixchel,"unex guatemala, s.a.",69,kg,130,norte,2015,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Wet,7.58,7.5,7.33,7.42,7.58,7.25
81.83,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,320,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.17,7.58,6.83,7.5,7.75,7.25
81.83,Arabica,Brazil,rio verde,ipanema comercial e exportadora sa,ipanema coffees,2,kg,300,south of minas,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Dry,7.58,7,6.92,6.92,7.67,7.5
81.83,Arabica,Myanmar,wat-ka-bu,NA,NA,2,kg,1,ywar ngan,2015,"July 17th, 2015",U Mg Mg,Catuai,Wet,7.33,7.58,7.5,7.42,7.33,7.33
81.83,Arabica,Mexico,rancho bonito,rancho bonito,agroindustrias unidas de mexico sa de cv,2,kg,250,chiapas,2015,"June 25th, 2015",VIRIDIANA,Catuai,Wet,7.58,7.5,7.33,7.5,7.17,7.33
81.83,Arabica,Honduras,cerro bueno,cadexsa,cadexsa,1,kg,275,marcala,2015,"May 12th, 2015",CADEXSA,Catuai,Wet,7.5,7.5,7.33,7.5,7.42,7.25
81.83,Arabica,Costa Rica,el patalillo,el patalillo,"cafetalera internacional cafinter, s.a.",18975,kg,275,tres rios,2015,"May 7th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,Wet,7.67,7.5,7.5,7.25,7.08,7.42
81.83,Arabica,Taiwan,gao chun fang 高醇坊,gao chun fang 高醇坊,taiwan coffee laboratory,5,kg,8,"dongshan dist., tainan city 臺南市東山區",2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Wet,7.67,7.33,7.17,7.25,7.75,7.33
81.83,Arabica,Indonesia,dozen small farmer,NA,essence coffee,10,kg,300,lington nihuta,2014,"March 21st, 2015",EssenceCoffee,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42
81.83,Arabica,Malawi,kakoma,mzuzu coffee coop union,mzuzu coffee planters coop union,60,kg,24,kakoma,2014,"October 31st, 2014",AFCA,Gesha,Wet,7.58,7.42,7.33,7.33,7.33,7.42
81.83,Arabica,Brazil,rio verde,ipanema coffees,ipanema coffees,2,kg,320,south of minas,2014/2015,"October 15th, 2014",Ipanema Coffees,Bourbon,Dry,7.33,7.58,7.25,7.17,7.83,7.33
81.83,Arabica,Honduras,gran manzana y el aguacate,cigrah sps,cigrah,1,kg,275,comayagua,2014,"May 16th, 2014",NA,Caturra,Dry,7.5,7.5,7.33,7.33,7.33,7.33
81.83,Arabica,Mexico,various,cafe gourmet de sierra azul sc,globus coffee,2,kg,280,"siltepec el triunfo, chiapas, mexico",2014,"April 26th, 2014",Kurt Kappeli,Typica,Wet,7.42,7.42,7.25,7.5,7.33,7.42
81.83,Arabica,Colombia,NA,NA,racafe & cia s.c.a,70,kg,50,huila,2013,"July 19th, 2013",Racafe & Cia S.C.A,Caturra,Wet,7.5,7.5,7,7.42,7.5,7.58
81.83,Arabica,United States (Hawaii),NA,NA,kona pacific farmers cooperative,100,lbs,19,kona,2012,"March 6th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Dry,7.83,7.83,7.83,8,7.83,7.83
81.83,Arabica,Brazil,sertao farm,armazens gerais cocarive,exportadora de cafés carmo de minas ltda,60,kg,300,sul de minas,2012,"March 2nd, 2013",Jacques Pereira Carneiro,Bourbon,Semi-washed,7.75,7.75,7.5,7.42,7.83,7.75
81.83,Arabica,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",69,kg,250,oriente,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Wet,7.83,7.67,7.33,7.33,7.67,7.83
